token_index	token	gaussian	surprisal	cached_grad
0	Some	0.240497	1.348881	1.273918
1	Ġpeople	0.270967	0.200000	1.250062
2	Ġhave	0.304144	1.742011	1.001958
3	Ġcertain	0.340092	2.805287	2.019184
4	Ġconditions	0.378852	0.575838	2.967704
5	Ġin	0.420434	3.000000	0.741926
6	Ġtheir	0.464817	0.200000	0.854527
7	Ġmouth	0.511942	0.560250	2.070713
8	Ġthat	0.561714	0.200000	0.767691
9	Ġmake	0.613995	0.885392	1.278689
10	Ġit	0.668605	0.638350	1.071618
11	Ġhard	0.725321	2.236032	2.017275
12	Ġto	0.783873	0.545400	0.718547
13	Ġget	0.843950	1.539747	1.186127
14	Ġrid	0.905197	0.932800	1.688061
15	Ġof	0.967218	0.200000	1.314950
16	Ġbacteria	1.029583	0.865614	1.511525
17	.	1.091827	1.632105	0.955200
18	ĠFor	1.153457	0.838922	1.503891
19	Ġthese	1.213960	2.161535	0.529606
20	Ġpeople	1.272808	0.200000	0.594495
21	,	1.329464	0.200000	0.408179
22	Ġa	1.383393	0.664966	0.316571
23	Ġmouth	1.434068	0.200000	1.290140
24	rin	1.480981	0.382219	1.501983
25	se	1.523647	0.200000	0.634096
26	Ġmay	1.561618	1.408452	0.795364
27	Ġbe	1.594485	0.225833	0.556325
28	Ġhelpful	1.621890	1.230198	1.163225
29	.	1.643530	0.535299	0.721887
30	ĠOther	1.659164	1.195143	1.230977
31	Ġpeople	1.668616	0.200000	0.764828
32	Ġmay	1.671778	0.666823	1.481943
33	Ġjust	1.668616	1.956130	1.320676
34	Ġhave	1.659164	2.022676	0.726181
35	Ġa	1.643530	0.429032	0.599743
36	Ġsmall	1.621890	3.000000	1.250062
37	Ġamount	1.594485	0.440812	1.192807
38	Ġof	1.561618	0.200000	0.460662
39	Ġbacteria	1.523647	0.421267	1.290140
40	,	1.480981	2.897516	0.453505
41	Ġso	1.434068	1.305349	0.916553
42	Ġthey	1.383393	0.635996	0.512430
43	Ġdon	1.329464	0.508397	0.798226
44	âĢĻt	1.272808	1.219937	0.614534
45	Ġneed	1.213960	0.200000	0.664155
46	Ġto	1.153457	0.433628	0.381460
47	Ġuse	1.091827	0.200000	0.479986
48	Ġit	1.029583	1.088359	0.484995
49	,	0.967218	2.248065	0.954723
50	Ġand	0.905197	0.960806	1.616492
51	Ġstill	0.843950	3.000000	2.864645
52	Ġother	0.783873	2.304598	1.628897
53	Ġpeople	0.725321	0.200000	0.890311
54	Ġare	0.668605	2.010074	0.917030
55	Ġfine	0.613995	2.141984	1.918988
56	Ġwithout	0.561714	0.299880	1.768217
57	Ġusing	0.511942	1.859326	0.397443
58	Ġa	0.464817	0.935326	0.153872
59	Ġmouth	0.420434	0.200000	0.853096
60	rin	0.378852	0.258678	0.157928
61	se	0.340092	0.200000	0.121607
62	.	0.304144	0.468473	0.426786
63	<|im_end|>	0.270967	1.437793	0.000664
64	Ċ	0.240497	0.200000	0.000000
