token_index	token	gaussian	surprisal	cached_grad
0	I	0.249719	3.000000	2.134545
1	âĢĻd	0.301972	3.000000	4.838465
2	Ġsay	0.361526	0.809357	4.012505
3	Ġa	0.428519	2.194450	0.807633
4	Ġwide	0.502872	2.277358	1.154634
5	Ġvariety	0.584253	0.210148	1.280483
6	Ġof	0.672051	0.200000	0.572735
7	Ġthings	0.765351	3.000000	0.807633
8	:	0.862931	3.000000	0.484457
9	Ġleaf	0.963271	2.104386	3.008157
10	Ġlettuce	1.064579	2.294067	1.319581
11	,	1.164835	0.200000	0.151355
12	Ġspinach	1.261851	0.748638	1.390448
13	,	1.353345	0.200000	0.120351
14	Ġb	1.437031	1.820717	0.311568
15	ok	1.510710	0.200000	0.613666
16	Ġch	1.572363	0.200000	0.560517
17	oy	1.620248	0.200000	0.939591
18	,	1.652979	0.200000	0.183581
19	Ġch	1.669592	2.009497	0.681784
20	ard	1.669592	0.200000	1.114924
21	,	1.652979	0.200000	0.314622
22	Ġmustard	1.620248	1.284580	2.969058
23	Ġgreens	1.572363	0.200000	1.121033
24	,	1.510710	0.200000	0.204505
25	Ġcoll	1.437031	0.790705	2.268947
26	ards	1.353345	0.759236	1.693463
27	,	1.261851	0.200000	0.083848
28	Ġkale	1.164835	0.705395	0.637798
29	,	1.064579	0.200000	0.113249
30	Ġar	0.963271	1.134782	0.334172
31	ug	0.862931	0.200000	0.620692
32	ula	0.765351	0.200000	0.741654
33	,	0.672051	0.200000	0.240854
34	Ġand	0.584253	1.168712	0.376936
35	Ġturn	0.502872	2.097216	1.229166
36	ips	0.428519	0.353837	0.165406
37	.	0.361526	0.269471	0.395874
38	<|im_end|>	0.301972	1.517918	0.000116
39	Ċ	0.249719	0.200000	0.000000
