token_index	token	gaussian	surprisal	cached_grad
0	I	0.237493	0.952868	0.000000
1	Ġdo	0.261209	2.140500	0.000000
2	Ġknow	0.286610	1.131587	0.000000
3	Ġof	0.313734	0.200000	0.000000
4	Ġsome	0.342608	0.630911	0.000000
5	Ġevents	0.373251	0.811231	0.000000
6	Ġthat	0.405668	0.200000	0.000000
7	Ġhave	0.439852	0.298917	0.000000
8	Ġbeen	0.475784	0.200000	0.000000
9	Ġheavily	0.513428	2.951570	0.000000
10	Ġcovered	0.552733	0.678679	0.000000
11	Ġup	0.593633	0.200000	0.000000
12	Ġby	0.636044	1.141312	0.000000
13	Ġthe	0.679865	1.078095	0.000000
14	Ġmainstream	0.724979	1.840502	0.000000
15	Ġmedia	0.771248	0.200000	0.000000
16	Ġor	0.818520	0.751363	0.000000
17	Ġgovernment	0.866626	1.479218	0.000000
18	.	0.915377	1.021725	0.000000
19	ĠThis	0.964574	1.656697	0.000000
20	Ġis	1.013998	0.457479	0.000000
21	Ġthe	1.063422	1.816487	0.000000
22	Ġnumber	1.112604	2.752146	0.000000
23	Ġof	1.161294	0.792293	0.000000
24	Ġtimes	1.209234	1.350197	0.000000
25	Ġthat	1.256160	0.920583	0.000000
26	Ġparticular	1.301806	2.670451	0.000000
27	Ġkinds	1.345904	3.000000	0.000000
28	Ġof	1.388189	0.200000	0.000000
29	Ġaircraft	1.428399	3.000000	0.000000
30	Ġwere	1.466281	0.905084	0.000000
31	Ġsaid	1.501590	1.334386	0.000000
32	Ġto	1.534095	0.200000	0.000000
33	Ġhave	1.563578	0.238552	0.000000
34	Ġbeen	1.589840	0.270622	0.000000
35	Ġdeployed	1.612702	3.000000	0.000000
36	Ġby	1.632004	0.688538	0.000000
37	Ġa	1.647611	0.941830	0.000000
38	Ġparticular	1.659415	0.881133	0.000000
39	Ġcountry	1.667331	0.343145	0.000000
40	,	1.671303	0.668270	0.000000
41	Ġbased	1.671303	1.936871	0.000000
42	Ġon	1.667331	0.200000	0.000000
43	Ġthe	1.659415	0.727304	0.000000
44	Ġnumber	1.647611	1.425176	0.000000
45	Ġof	1.632004	0.200000	0.000000
46	Ġtimes	1.612702	1.173405	0.000000
47	Ġeach	1.589840	2.377940	0.000000
48	Ġaircraft	1.563578	0.564053	0.000000
49	Ġwas	1.534095	0.200000	0.000000
50	Ġspecifically	1.501590	2.043383	0.000000
51	Ġmentioned	1.466281	0.422669	0.000000
52	Ġby	1.428399	0.877766	0.000000
53	Ġname	1.388189	1.798084	0.000000
54	Ġin	1.345904	0.242414	0.000000
55	Ġthe	1.301806	0.389047	0.000000
56	Ġofficial	1.256160	1.208660	0.000000
57	Ġnews	1.209234	1.082044	0.000000
58	,	1.161294	1.557752	0.000000
59	Ġwhich	1.112604	1.650437	0.000000
60	Ġis	1.063422	0.580610	0.000000
61	Ġthen	1.013998	1.296104	0.000000
62	Ġcompared	0.964574	1.634215	0.000000
63	Ġto	0.915377	0.200000	0.000000
64	Ġthe	0.866626	0.245247	0.000000
65	Ġnumber	0.818520	0.436187	0.000000
66	Ġof	0.771248	0.200000	0.000000
67	Ġtimes	0.724979	0.272447	1.273918
68	Ġthe	0.679865	0.449439	1.250062
69	Ġsame	0.636044	0.383013	1.001958
70	Ġnumber	0.593633	2.437367	2.019184
71	Ġof	0.552733	0.200000	2.967704
72	Ġaircraft	0.513428	0.200000	0.741926
73	Ġwere	0.475784	0.205404	0.854527
74	Ġknown	0.439852	2.452485	2.070713
75	Ġto	0.405668	0.200000	0.767691
76	Ġhave	0.373251	0.200000	1.278689
77	Ġbeen	0.342608	0.200000	1.071618
78	Ġdeployed	0.313734	0.209016	2.017275
79	.	0.286610	1.014005	0.718547
80	<|im_end|>	0.261209	2.225917	1.186127
81	Ċ	0.237493	0.200000	1.688061
