token_index	token	gaussian	surprisal	cached_grad
0	Would	0.261616	3.000000	0.000000
1	Ġyou	0.344201	0.221370	0.000000
2	Ġlike	0.443025	0.200000	0.000000
3	Ġthem	0.557844	3.000000	0.000000
4	Ġto	0.687171	0.200000	0.000000
5	Ġlisten	0.828105	1.133705	0.000000
6	Ġto	0.976280	0.200000	0.000000
7	Ġpopular	1.125982	2.585982	0.000000
8	Ġmusic	1.270447	0.200000	0.000000
9	Ġor	1.402328	0.448387	0.000000
10	Ġclassical	1.514297	0.560265	0.000000
11	Ġmusic	1.599708	0.200000	0.000000
12	?	1.653250	0.200000	0.000000
13	Ġ	1.671493	2.659075	0.000000
14	ĠI	1.653250	1.503434	0.000000
15	Ġknow	1.599708	1.794642	0.000000
16	Ġa	1.514297	1.521244	0.000000
17	Ġlittle	1.402328	1.185824	0.000000
18	Ġbit	1.270447	0.354275	0.000000
19	Ġabout	1.125982	0.200000	0.000000
20	Ġboth	0.976280	0.993277	0.000000
21	Ġof	0.828105	1.275227	0.000000
22	Ġthose	0.687171	0.522228	0.000000
23	Ġgenres	0.557844	0.332533	0.000000
24	.	0.443025	0.319755	0.000000
25	<|im_end|>	0.344201	1.911178	0.000000
26	Ċ	0.261616	0.200000	0.000000
