token_index	token	gaussian	surprisal	cached_grad
0	Would	0.261616	3.000000	2.881565
1	Ġyou	0.344201	0.221370	1.599643
2	Ġlike	0.443025	0.200000	2.658718
3	Ġthem	0.557844	3.000000	0.731423
4	Ġto	0.687171	0.200000	0.639306
5	Ġlisten	0.828105	1.133705	0.730872
6	Ġto	0.976280	0.200000	0.448728
7	Ġpopular	1.125982	2.585982	1.841245
8	Ġmusic	1.270447	0.200000	1.442989
9	Ġor	1.402328	0.448387	0.437144
10	Ġclassical	1.514297	0.560265	0.926138
11	Ġmusic	1.599708	0.200000	0.555462
12	?	1.653250	0.200000	1.396654
13	Ġ	1.671493	2.659075	1.036459
14	ĠI	1.653250	1.503434	1.435266
15	Ġknow	1.599708	1.794642	1.174911
16	Ġa	1.514297	1.521244	0.842847
17	Ġlittle	1.402328	1.185824	1.065142
18	Ġbit	1.270447	0.354275	0.799822
19	Ġabout	1.125982	0.200000	0.857740
20	Ġboth	0.976280	0.993277	0.763968
21	Ġof	0.828105	1.275227	0.495889
22	Ġthose	0.687171	0.522228	0.660267
23	Ġgenres	0.557844	0.332533	0.564840
24	.	0.443025	0.319755	1.012740
25	<|im_end|>	0.344201	1.911178	0.000227
26	Ċ	0.261616	0.200000	0.000000
