token_index	token	gaussian	surprisal	cached_grad
0	To	0.244156	2.350377	1.423016
1	Ġmake	0.283082	0.200000	1.171103
2	Ġthe	0.326277	2.095750	1.368252
3	Ġfirst	0.373845	3.000000	1.910835
4	Ġlayer	0.425821	1.911301	3.348174
5	Ġof	0.482162	0.200000	0.987433
6	Ġcake	0.542736	1.967832	1.462614
7	,	0.607316	0.200000	0.422524
8	Ġyou	0.675571	0.272533	0.706874
9	âĢĻll	0.747063	1.354532	1.435654
10	Ġneed	0.821247	0.200000	1.257882
11	Ġto	0.897472	0.809872	0.842941
12	Ġbeat	0.974985	1.921536	3.845260
13	Ġ	1.052944	1.330128	0.826512
14	4	1.130427	1.775068	0.531209
15	Ġeggs	1.206453	0.459983	3.230221
16	Ġwith	1.279995	0.806135	0.695500
17	Ġ	1.350008	0.200000	0.429685
18	1	1.415451	0.465864	0.434319
19	/	1.475310	0.649914	0.590606
20	2	1.528628	0.200000	0.392825
21	Ġcup	1.574530	0.200000	2.062488
22	Ġof	1.612241	0.200000	0.861898
23	Ġwater	1.641116	2.084823	0.940252
24	Ġuntil	1.660653	1.270469	1.269677
25	Ġfluffy	1.670509	2.191714	1.455874
26	.	1.670509	0.337441	1.160150
27	Ġ	1.660653	1.940143	1.185425
28	ĠThen	1.641116	0.280718	1.695150
29	Ġyou	1.612241	1.863424	0.425262
30	âĢĻll	1.574530	0.319988	0.818508
31	Ġneed	1.528628	0.616813	0.577969
32	Ġto	1.475310	0.200000	0.472654
33	Ġmix	1.415451	0.847772	1.229236
34	Ġ	1.350008	0.543412	0.210630
35	1	1.279995	0.272480	0.318262
36	Ġ	1.206453	1.296508	0.354490
37	1	1.130427	0.200000	0.324159
38	/	1.052944	0.200000	0.567437
39	4	0.974985	0.971014	0.398722
40	Ġcups	0.897472	0.200000	0.766272
41	Ġof	0.821247	0.200000	0.442744
42	Ġsugar	0.747063	0.340924	1.806362
43	Ġwith	0.675571	0.646972	0.491610
44	Ġ	0.607316	0.200000	0.186723
45	1	0.542736	0.310695	0.283719
46	Ġcup	0.482162	1.001424	1.017764
47	Ġof	0.425821	0.200000	0.448642
48	Ġflour	0.373845	0.819341	1.993402
49	.	0.326277	0.935306	0.920874
50	<|im_end|>	0.283082	3.000000	0.000205
51	Ċ	0.244156	0.200000	0.000000
